soma_joinid	collection_id	collection_name	collection_doi	dataset_id	dataset_title	dataset_h5ad_path	dataset_total_cell_count
0	e2c257e7-6f79-487c-b81c-39451cd4ab3c	Spatial multiomics map of trophoblast development in early pregnancy	10.1038/s41586-023-05869-0	f171db61-e57e-4535-a06a-35d8b6ef8f2b	donor_p13_trophoblasts	f171db61-e57e-4535-a06a-35d8b6ef8f2b.h5ad	31497
1	e2c257e7-6f79-487c-b81c-39451cd4ab3c	Spatial multiomics map of trophoblast development in early pregnancy	10.1038/s41586-023-05869-0	ecf2e08e-2032-4a9e-b466-b65b395f4a02	All donors trophoblasts	ecf2e08e-2032-4a9e-b466-b65b395f4a02.h5ad	67070
29	9d63fcf1-5ca0-4006-8d8f-872f3327dbe9	Brain matters: Unveiling the Distinct Contributions of Region, Age, and Sex to Glia diversity and CNS Function	10.1186/s40478-023-01568-z	c8f83821-a242-4ed7-86e9-7da077f5d348	white matter - astrocytes	c8f83821-a242-4ed7-86e9-7da077f5d348.h5ad	3596
30	9d63fcf1-5ca0-4006-8d8f-872f3327dbe9	Brain matters: Unveiling the Distinct Contributions of Region, Age, and Sex to Glia diversity and CNS Function	10.1186/s40478-023-01568-z	c05e6940-729c-47bd-a2a6-6ce3730c4919	white matter - all cells	c05e6940-729c-47bd-a2a6-6ce3730c4919.h5ad	45528
31	9d63fcf1-5ca0-4006-8d8f-872f3327dbe9	Brain matters: Unveiling the Distinct Contributions of Region, Age, and Sex to Glia diversity and CNS Function	10.1186/s40478-023-01568-z	894573ad-498f-47ee-9bec-ad0880147eea	white matter - neurons	894573ad-498f-47ee-9bec-ad0880147eea.h5ad	10734
32	9d63fcf1-5ca0-4006-8d8f-872f3327dbe9	Brain matters: Unveiling the Distinct Contributions of Region, Age, and Sex to Glia diversity and CNS Function	10.1186/s40478-023-01568-z	84242d25-f656-4ca6-8e8d-f3d2beeba11f	white matter - microglia	84242d25-f656-4ca6-8e8d-f3d2beeba11f.h5ad	3851
33	9d63fcf1-5ca0-4006-8d8f-872f3327dbe9	Brain matters: Unveiling the Distinct Contributions of Region, Age, and Sex to Glia diversity and CNS Function	10.1186/s40478-023-01568-z	3d044b52-140a-4528-bf0d-a2dbef9e1f40	white matter - vascular cells	3d044b52-140a-4528-bf0d-a2dbef9e1f40.h5ad	4880
34	9d63fcf1-5ca0-4006-8d8f-872f3327dbe9	Brain matters: Unveiling the Distinct Contributions of Region, Age, and Sex to Glia diversity and CNS Function	10.1186/s40478-023-01568-z	12194ced-8086-458e-84a8-e2ab935d8db1	white matter - oligodendroglia	12194ced-8086-458e-84a8-e2ab935d8db1.h5ad	21968
35	26b5b4f6-828c-4791-b4a3-abb19e3b1952	Single cell RNA sequencing of bone marrow mononuclear cells from healthy donors and B-cell lymphoma patients following CD19 CAR T-cell therapy		965386e9-1e4f-466d-bf59-ebdca4b66b9b	Single cell RNA sequencing of bone marrow mononuclear cells from healthy donors and B-cell lymphoma patients following CD19 CAR T-cell therapy	965386e9-1e4f-466d-bf59-ebdca4b66b9b.h5ad	92676
36	4195ab4c-20bd-4cd3-8b3d-65601277e731	A spatially resolved single cell genomic atlas of the adult human breast	10.1038/s41586-023-06252-9	e47c65a8-7d2f-48b8-908e-04ea6505fa26	scRNA-seq data - vascular cells	e47c65a8-7d2f-48b8-908e-04ea6505fa26.h5ad	83651
37	4195ab4c-20bd-4cd3-8b3d-65601277e731	A spatially resolved single cell genomic atlas of the adult human breast	10.1038/s41586-023-06252-9	c8d40d53-387b-48f2-9f89-72bfdb9c7c9f	scRNA-seq data - perivascular cells	c8d40d53-387b-48f2-9f89-72bfdb9c7c9f.h5ad	52638
38	4195ab4c-20bd-4cd3-8b3d-65601277e731	A spatially resolved single cell genomic atlas of the adult human breast	10.1038/s41586-023-06252-9	a41202e6-173c-477c-8b4d-e0688ee1c4cb	scRNA-seq data - lymphatic cells	a41202e6-173c-477c-8b4d-e0688ee1c4cb.h5ad	8982
44	6b701826-37bb-4356-9792-ff41fc4c3161	Abdominal White Adipose Tissue		9d8e5dca-03a3-457d-b7fb-844c75735c83	22 integrated samples	9d8e5dca-03a3-457d-b7fb-844c75735c83.h5ad	72335
45	4195ab4c-20bd-4cd3-8b3d-65601277e731	A spatially resolved single cell genomic atlas of the adult human breast	10.1038/s41586-023-06252-9	a6388a6f-6076-401b-9b30-7d4306a20035	scRNA-seq data - myeloid cells	a6388a6f-6076-401b-9b30-7d4306a20035.h5ad	30789
47	4195ab4c-20bd-4cd3-8b3d-65601277e731	A spatially resolved single cell genomic atlas of the adult human breast	10.1038/s41586-023-06252-9	74520626-b0ba-4ee9-86b5-714649554def	scRNA-seq data - T cells	74520626-b0ba-4ee9-86b5-714649554def.h5ad	76567
48	4195ab4c-20bd-4cd3-8b3d-65601277e731	A spatially resolved single cell genomic atlas of the adult human breast	10.1038/s41586-023-06252-9	396a9124-fb20-4822-bf9c-e93fdf7c999a	scRNA-seq data - B cells	396a9124-fb20-4822-bf9c-e93fdf7c999a.h5ad	12510
50	74e10dc4-cbb2-4605-a189-8a1cd8e44d8c	Spatial proteogenomics reveals distinct and evolutionarily conserved hepatic macrophage niches	10.1016/j.cell.2021.12.018	dfdf1ae2-d624-4004-9353-f18b902f6bca	Myeloid cells from human liver dataset	dfdf1ae2-d624-4004-9353-f18b902f6bca.h5ad	40821
51	74e10dc4-cbb2-4605-a189-8a1cd8e44d8c	Spatial proteogenomics reveals distinct and evolutionarily conserved hepatic macrophage niches	10.1016/j.cell.2021.12.018	d1cbed97-d88f-4954-8925-13302fe30b39	CD45 negative cells from human liver dataset	d1cbed97-d88f-4954-8925-13302fe30b39.h5ad	15481
53	6d203948-a779-4b69-9b3f-1ee1dadc3980	Differential cell composition and split epidermal differentiation in human palm, sole, and hip skin	10.1016/j.celrep.2023.111994	f1f123cc-ca2c-460f-b7f1-88240efb1e82	UMAP visualization of keratinocyte subclusters	f1f123cc-ca2c-460f-b7f1-88240efb1e82.h5ad	9471
54	6d203948-a779-4b69-9b3f-1ee1dadc3980	Differential cell composition and split epidermal differentiation in human palm, sole, and hip skin	10.1016/j.celrep.2023.111994	de94c504-4b58-4f42-b68d-74a8e4892f0e	UMAP visualization of all 12 datasets	de94c504-4b58-4f42-b68d-74a8e4892f0e.h5ad	15243
55	6d203948-a779-4b69-9b3f-1ee1dadc3980	Differential cell composition and split epidermal differentiation in human palm, sole, and hip skin	10.1016/j.celrep.2023.111994	da684768-fb01-455b-9f0f-b63a3e2f844f	UMAP visualization of fibroblast subclusters	da684768-fb01-455b-9f0f-b63a3e2f844f.h5ad	2303
58	efd94500-1fdc-4e28-9e9f-a309d0154e21	HTAN MSK - Transcriptional connectivity of regulatory T cells in the tumor microenvironment informs novel combination cancer therapy strategies	10.1038/s41590-023-01504-2	d41f45c1-1b7b-4573-a998-ac5c5acb1647	Transcriptional connectivity of regulatory T cells in the tumor microenvironment informs novel combination cancer therapy strategies	d41f45c1-1b7b-4573-a998-ac5c5acb1647.h5ad	82991
59	1df8c90d-d299-4b2e-a54d-a5a80f36e780	Single-cell analyses of renal cell cancers reveal insights into tumor microenvironment, cell of origin, and therapy response	10.1073/pnas.2103240118	f801b7a9-80a6-4d09-9161-71474deb58ae	normal - Single-cell analyses of renal cell cancers reveal insights into tumor microenvironment, cell of origin, and therapy response	f801b7a9-80a6-4d09-9161-71474deb58ae.h5ad	6044
60	1df8c90d-d299-4b2e-a54d-a5a80f36e780	Single-cell analyses of renal cell cancers reveal insights into tumor microenvironment, cell of origin, and therapy response	10.1073/pnas.2103240118	be39785b-67cb-4177-be19-a40ee3747e45	ccRCC - Single-cell analyses of renal cell cancers reveal insights into tumor microenvironment, cell of origin, and therapy response	be39785b-67cb-4177-be19-a40ee3747e45.h5ad	20509
61	1df8c90d-d299-4b2e-a54d-a5a80f36e780	Single-cell analyses of renal cell cancers reveal insights into tumor microenvironment, cell of origin, and therapy response	10.1073/pnas.2103240118	4c6f9f26-5470-455b-8933-c408232fbf56	chRCC - Single-cell analyses of renal cell cancers reveal insights into tumor microenvironment, cell of origin, and therapy response	4c6f9f26-5470-455b-8933-c408232fbf56.h5ad	2576
64	48259aa8-f168-4bf5-b797-af8e88da6637	Human breast cell atlas	10.1101/2023.04.21.537845	24ec2dc5-3573-4d66-a9e1-25b7dcf43e27	HBCA - immune	24ec2dc5-3573-4d66-a9e1-25b7dcf43e27.h5ad	23714
67	7651ac1a-f947-463a-9223-a9e408a41989	Insulin is expressed by enteroendocrine cells during human fetal development	10.1038/s41591-021-01586-1	3f32121d-126b-4e8d-9f69-d86502d2a1b1	fetal and neonatal human small intestine cells	3f32121d-126b-4e8d-9f69-d86502d2a1b1.h5ad	36359
69	661a402a-2a5a-4c71-9b05-b346c57bc451	Single-cell roadmap of human gonadal development	10.1038/s41586-022-04918-4	ac2fea99-ce08-4fca-8d03-a19f37bf21a3	Human Immune Cell Lineage	ac2fea99-ce08-4fca-8d03-a19f37bf21a3.h5ad	20556
74	661a402a-2a5a-4c71-9b05-b346c57bc451	Single-cell roadmap of human gonadal development	10.1038/s41586-022-04918-4	290d50c7-7158-4198-acf5-6d4b624fd3dc	Human Germ Cells	290d50c7-7158-4198-acf5-6d4b624fd3dc.h5ad	10993
77	dfc09a93-bce0-4c77-893d-e153d1b7f9fa	Charting human development using a multi-endodermal organ atlas and organoid models	10.1016/j.cell.2021.04.028	ee195b7d-184d-4dfa-9b1c-51a7e601ac11	Adult duodenum	ee195b7d-184d-4dfa-9b1c-51a7e601ac11.h5ad	5200
