tissue	num_cells	num_genes	preview	category_interest
019c7af2-c827-4454-9970-44d5e39ce068	1932	19804	16 subtypes in cell_type	cell_type
03d5794d-cde9-4769-a1a9-b3899d2b1d87	2984	15547	4 subtypes in cell_type	cell_type
0b4a15a7-4e9e-4555-9733-2423e5c66469	2466	22841	24 subtypes in cell_type	cell_type
0f4865d5-8000-4f68-8ac7-f5efea9e5e70	3000	19021	6 subtypes in cell_type	cell_type
1196334f-a441-474a-95ee-400780941690	1040	31749	10 subtypes in cell_type	cell_type
12194ced-8086-458e-84a8-e2ab935d8db1	3000	21932	2 subtypes in cell_type	cell_type
1e5bd3b8-6a0e-4959-8d69-cafed30fe814	2970	19793	9 subtypes in cell_type	cell_type
24ec2dc5-3573-4d66-a9e1-25b7dcf43e27	1360	18622	8 subtypes in cell_type	cell_type
2a7f90de-098a-4a6f-ac07-9e6462792412	3000	25665	3 subtypes in cell_type	cell_type
396a9124-fb20-4822-bf9c-e93fdf7c999a	2100	16949	5 subtypes in cell_type	cell_type
3c75a463-6a87-4132-83a8-c3002624394d	2880	18406	24 subtypes in cell_type	cell_type
3d044b52-140a-4528-bf0d-a2dbef9e1f40	1052	18635	4 subtypes in cell_type	cell_type
44882825-0da1-4547-b721-2c6105d4a9d1	2111	17081	21 subtypes in cell_type	cell_type
482954b2-0456-4901-b379-b62f99c0ab2d	3010	16286	7 subtypes in cell_type	cell_type
4b6af54a-4a21-46e0-bc8d-673c0561a836	1053	20889	9 subtypes in cell_type	cell_type
4dd00779-7f73-4f50-89bb-e2d3c6b71b18	1400	14062	17 subtypes in cell_type	cell_type
4e38f019-f8e8-44ae-ad32-ba500de6f64c	3000	30914	2 subtypes in cell_type	cell_type
4fb330ab-2d74-4649-b58f-7ffef457efdf	2970	24505	9 subtypes in cell_type	cell_type
518d9049-2a76-44f8-8abc-1e2b59ab5ba1	3060	20066	17 subtypes in cell_type	cell_type
535e9336-2d8d-43c3-944d-bcbebe20df8a	2990	24331	13 subtypes in cell_type	cell_type
5500c673-1610-40a0-86d9-64d987ae50e6	3060	25791	17 subtypes in cell_type	cell_type
5af90777-6760-4003-9dba-8f945fec6fdf	3071	19383	45 subtypes in cell_type	cell_type
5cdbb2ea-c622-466d-9ead-7884ad8cb99f	3000	18874	2 subtypes in cell_type	cell_type
5ce42b38-d867-487f-9b40-e8bb00b21d0b	2177	19922	7 subtypes in cell_type	cell_type
63bb6359-3945-4658-92eb-3072419953e4	2156	15601	7 subtypes in cell_type	cell_type
6cf3634d-e911-44ad-bf52-c747a9af3c01	2247	18636	7 subtypes in cell_type	cell_type
74520626-b0ba-4ee9-86b5-714649554def	2990	20439	13 subtypes in cell_type	cell_type
74cff64f-9da9-4b2a-9b3b-8a04a1598040	3080	28746	22 subtypes in cell_type	cell_type
773b9b2e-70c8-40be-8cbb-e7b5abab360d	3000	22746	10 subtypes in cell_type	cell_type
7970bd6b-f752-47a9-8643-2af16855ec49	3000	14806	2 subtypes in cell_type	cell_type
7b75b2c4-6d99-40be-9a61-391455d859e6	3000	15822	2 subtypes in cell_type	cell_type
7f08cbcc-5790-4576-8478-10e9a999b316	3000	28001	10 subtypes in cell_type	cell_type
8623d55f-d91c-41c2-ae68-ed2072fd268d	3000	18410	2 subtypes in cell_type	cell_type
94423ec1-21f8-40e8-b5c9-c3ea82350ca4	1190	13065	5 subtypes in cell_type	cell_type
965386e9-1e4f-466d-bf59-ebdca4b66b9b	3060	22519	17 subtypes in cell_type	cell_type
9968be68-ab65-4a38-9e1a-c9b6abece194	3000	23585	20 subtypes in cell_type	cell_type
9a281de7-cee5-4e80-8584-1929f46f152f	1037	34106	8 subtypes in cell_type	cell_type
9d8e5dca-03a3-457d-b7fb-844c75735c83	2545	31934	15 subtypes in cell_type	cell_type
a19b218b-1c0a-4618-b41f-7c216c623ec6	2017	35466	8 subtypes in cell_type	cell_type
a37f857c-779f-464e-9310-3db43a1811e7	2959	20120	18 subtypes in cell_type	cell_type
a4116666-d295-4443-a174-0acc283f92c4	1447	31921	7 subtypes in cell_type	cell_type
a4157949-6f2a-40e2-b960-63f6e2bde918	1152	31008	6 subtypes in cell_type	cell_type
a5b5d1f3-dd8b-44f6-a685-15f0f741c062	1015	26054	8 subtypes in cell_type	cell_type
a5d95a42-0137-496f-8a60-101e17f263c8	1131	18400	3 subtypes in cell_type	cell_type
a6388a6f-6076-401b-9b30-7d4306a20035	1628	20179	11 subtypes in cell_type	cell_type
a7b4f565-691d-43ea-bf4a-d2d1d52bb4b4	1905	32402	9 subtypes in cell_type	cell_type
ab5b2256-b209-48b5-a801-c5d9a8c0de56	1365	29009	11 subtypes in cell_type	cell_type
ac2fea99-ce08-4fca-8d03-a19f37bf21a3	2268	18552	18 subtypes in cell_type	cell_type
acae7679-d077-461c-b857-ee6ccfeb267f	1113	34741	10 subtypes in cell_type	cell_type
b03e4ef8-4e6b-47f4-84a7-e8ed033d08cd	2970	19411	11 subtypes in cell_type	cell_type
b8681124-aabf-4904-b9c9-66d834bf5bba	1731	31367	10 subtypes in cell_type	cell_type
bc7260e0-54cf-4b0b-823d-93f5b850f757	1636	19554	4 subtypes in cell_type	cell_type
bd65a70f-b274-4133-b9dd-0d1431b6af34	2106	15991	18 subtypes in cell_type	cell_type
be884a28-0eac-4eca-9c23-1294a93cf56e	1602	25457	9 subtypes in cell_type	cell_type
c05e6940-729c-47bd-a2a6-6ce3730c4919	1470	25876	14 subtypes in cell_type	cell_type
c2aad8fc-b63b-4f9b-9cfd-baf7bc9c1771	2085	35787	6 subtypes in cell_type	cell_type
c3d381b2-3104-444e-8ad5-d3524407bbb6	1541	20107	2 subtypes in cell_type	cell_type
c8d40d53-387b-48f2-9f89-72bfdb9c7c9f	3000	20918	2 subtypes in cell_type	cell_type
ca20e2ac-5676-4158-b5d0-0c2b15898b19	1253	29158	9 subtypes in cell_type	cell_type
